ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
afr-Ritchie-2019-110-81-1,,afr,Ritchie-2019-110-81,tagtig,tagtig,,,Ritchie2019,,
afr-Ritchie-2019-110-82-1,,afr,Ritchie-2019-110-82,een en tagtig,een en tagtig,,,Ritchie2019,,
afr-Ritchie-2019-110-83-1,,afr,Ritchie-2019-110-83,twee en tagtig,twee en tagtig,,,Ritchie2019,,
afr-Ritchie-2019-110-84-1,,afr,Ritchie-2019-110-84,drie en tagtig,drie en tagtig,,,Ritchie2019,,
afr-Ritchie-2019-110-85-1,,afr,Ritchie-2019-110-85,vier en tagtig,vier en tagtig,,,Ritchie2019,,
afr-Ritchie-2019-110-86-1,,afr,Ritchie-2019-110-86,vyf en tagtig,vyf en tagtig,,,Ritchie2019,,
afr-Ritchie-2019-110-87-1,,afr,Ritchie-2019-110-87,ses en tagtig,ses en tagtig,,,Ritchie2019,,
afr-Ritchie-2019-110-88-1,,afr,Ritchie-2019-110-88,sewe en tagtig,sewe en tagtig,,,Ritchie2019,,
afr-Ritchie-2019-110-89-1,,afr,Ritchie-2019-110-89,agt en tagtig,agt en tagtig,,,Ritchie2019,,
afr-Ritchie-2019-110-90-1,,afr,Ritchie-2019-110-90,nege en tagtig,nege en tagtig,,,Ritchie2019,,
afr-Ritchie-2019-110-91-1,,afr,Ritchie-2019-110-91,negentig,negentig,,,Ritchie2019,,
afr-Ritchie-2019-110-92-1,,afr,Ritchie-2019-110-92,een en negentig,een en negentig,,,Ritchie2019,,
afr-Ritchie-2019-110-93-1,,afr,Ritchie-2019-110-93,twee en negentig,twee en negentig,,,Ritchie2019,,
afr-Ritchie-2019-110-94-1,,afr,Ritchie-2019-110-94,drie en negentig,drie en negentig,,,Ritchie2019,,
afr-Ritchie-2019-110-95-1,,afr,Ritchie-2019-110-95,vier en negentig,vier en negentig,,,Ritchie2019,,
afr-Ritchie-2019-110-96-1,,afr,Ritchie-2019-110-96,vyf en negentig,vyf en negentig,,,Ritchie2019,,
afr-Ritchie-2019-110-97-1,,afr,Ritchie-2019-110-97,ses en negentig,ses en negentig,,,Ritchie2019,,
afr-Ritchie-2019-110-98-1,,afr,Ritchie-2019-110-98,sewe en negentig,sewe en negentig,,,Ritchie2019,,
afr-Ritchie-2019-110-99-1,,afr,Ritchie-2019-110-99,agt en negentig,agt en negentig,,,Ritchie2019,,
afr-Ritchie-2019-110-100-1,,afr,Ritchie-2019-110-100,nege en negentig,nege en negentig,,,Ritchie2019,,
afr-Ritchie-2019-110-101-1,,afr,Ritchie-2019-110-101,een honderd,een honderd,,,Ritchie2019,,
afr-Ritchie-2019-110-102-1,,afr,Ritchie-2019-110-102,een duisend,een duisend,,,Ritchie2019,,
afr-Ritchie-2019-110-103-1,,afr,Ritchie-2019-110-103,tien duisend,tien duisend,,,Ritchie2019,,
afr-Ritchie-2019-110-104-1,,afr,Ritchie-2019-110-104,een honderd duisend,een honderd duisend,,,Ritchie2019,,
afr-Ritchie-2019-110-105-1,,afr,Ritchie-2019-110-105,een miljoen,een miljoen,,,Ritchie2019,,
afr-Ritchie-2019-110-106-1,,afr,Ritchie-2019-110-106,tien miljoen,tien miljoen,,,Ritchie2019,,
afr-Ritchie-2019-110-107-1,,afr,Ritchie-2019-110-107,een honderd miljoen,een honderd miljoen,,,Ritchie2019,,
afr-Ritchie-2019-110-108-1,,afr,Ritchie-2019-110-108,een miljard,een miljard,,,Ritchie2019,,
afr-Ritchie-2019-110-109-1,,afr,Ritchie-2019-110-109,tien miljard,tien miljard,,,Ritchie2019,,
afr-Ritchie-2019-110-110-1,,afr,Ritchie-2019-110-110,een honderd miljard,een honderd miljard,,,Ritchie2019,,
